"id","region_name_uz","region_name_en","region_name_ru"
"1","Qoraqalpog‘iston Respublikasi","Qoraqalpog‘iston Respublikasi","Qoraqalpog‘iston Respublikasi"
"2","Andijon","Andijan","Андижан"
"3","Buxoro","Buxoro viloyati","Buxoro viloyati"
"4","Farg‘ona","Farg‘ona viloyati","Farg‘ona viloyati"
"5","Jizzax","Jizzax viloyati","Jizzax viloyati"
"6","Namangan","Namangan viloyati","Namangan viloyati"
"7","Navoiy","Navoiy viloyati","Navoiy viloyati"
"8","Qashqadaryo","Qashqadaryo viloyati","Qashqadaryo viloyati"
"9","Samarqand","Samarqand viloyati","Samarqand viloyati"
"10","Sirdaryo","Sirdaryo viloyati","Sirdaryo viloyati"
"11","Surxondaryo","Surxondaryo viloyati","Surxondaryo viloyati"
"12","Toshkent shahri","Toshkent shahri","Toshkent shahri"
"13","Toshkent","Toshkent viloyati","Toshkent viloyati"
"14","Xorazm","Xorazm viloyati","Xorazm viloyati"
"15","Rossiya federatsiyasi","Russian Federation","Российская Федерация"
